,No,gross,budget,aspect_ratio,title_year,director_name,actor_1_name,actor_2_name,actor_3_name,color,duration,language
0,0499549,2787965087.0,237000000.0,1.78 : 1,2009.0,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Color,162,English
1,0449088,963420425.0,300000000.0,2.39 : 1,2007.0,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Color,169,English
2,2379713,880674175.0,245000000.0,2.39 : 1,2015.0,Sam Mendes,Daniel Craig,Christoph Waltz,Léa Seydoux,Color,148,English
3,1345836,1084939099.0,250000000.0,1.43 : 1 (70mm IMAX - some scenes),2012.0,Christopher Nolan,Christian Bale,Gary Oldman,Tom Hardy,Color,164,English
4,5289954,,,,2015.0,Doug Walker,Doug Walker,Rob Walker,,,34,
5,0401729,284139100.0,250000000.0,2.35 : 1,2012.0,Andrew Stanton,Taylor Kitsch,Lynn Collins,Samantha Morton,Color,132,English
6,0413300,890871626.0,258000000.0,2.39 : 1,2007.0,Sam Raimi,Tobey Maguire,Kirsten Dunst,James Franco,Color,139,English
7,0398286,591794936.0,260000000.0,1.85 : 1,2010.0,Nathan Greno,Mandy Moore,Zachary Levi,Donna Murphy,Color,100,English
8,2395427,1405413868.0,250000000.0,2.39 : 1,2015.0,Joss Whedon,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Color,141,English
9,0417741,934416487.0,250000000.0,2.39 : 1,2009.0,David Yates,Daniel Radcliffe,Michael Gambon,Dave Legeno,Color,153,English
10,2975590,873634919.0,250000000.0,"1.43 : 1 (some scenes: IMAX 70mm, Laser & 4K UHD Blu Ray)",2016.0,Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams,Color,152,English
11,0348150,191000000.0,209000000.0,2.35 : 1,2006.0,Bryan Singer,Brandon Routh,Kate Bosworth,Kevin Spacey,Color,154,English
12,0830515,586090727.0,200000000.0,2.39 : 1,2008.0,Marc Forster,Daniel Craig,Olga Kurylenko,Mathieu Amalric,Color,106,English
13,0383574,1066179725.0,225000000.0,2.39 : 1,2006.0,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Color,151,English
14,1210819,260502115.0,215000000.0,2.39 : 1,2013.0,Gore Verbinski,Johnny Depp,Armie Hammer,William Fichtner,Color,150,English
15,0770828,668045518.0,225000000.0,2.35 : 1,2013.0,Zack Snyder,Henry Cavill,Amy Adams,Michael Shannon,Color,143,English
16,0499448,419651413.0,225000000.0,2.39 : 1,2008.0,Andrew Adamson,Ben Barnes,Georgie Henley,Skandar Keynes,Color,150,English
17,0848228,1517935897.0,220000000.0,1.78 : 1 (2012 Blu-ray/DVD release),2012.0,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Color,143,English
18,1298650,1045713802.0,378500000.0,2.39 : 1,2011.0,Rob Marshall,Johnny Depp,Penélope Cruz,Geoffrey Rush,Color,137,English
19,1409024,624026776.0,225000000.0,1.85 : 1,2012.0,Barry Sonnenfeld,Will Smith,Tommy Lee Jones,Josh Brolin,Color,106,English
20,2310332,956019788.0,250000000.0,2.00 : 1 (IMAX 3-D version),2014.0,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Color,144,English
21,0948470,757930663.0,230000000.0,1.43 : 1 (70mm IMAX 3D version: some scenes),2012.0,Marc Webb,Andrew Garfield,Emma Stone,Rhys Ifans,Color,136,English
22,0955308,321669741.0,200000000.0,2.39 : 1,2010.0,Ridley Scott,Russell Crowe,Cate Blanchett,Max von Sydow,Color,140,English
23,1170358,960366855.0,225000000.0,2.00 : 1 (70mm IMAX 3D version),2013.0,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Color,161,English
24,0385752,346000000.0,180000000.0,2.35 : 1,2007.0,Chris Weitz,Nicole Kidman,Daniel Craig,Dakota Blue Richards,Color,113,English
25,0360717,550517357.0,207000000.0,2.39 : 1,2005.0,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody,Color,187,English
26,0120338,2186772302.0,200000000.0,1.78 : 1 (IMAX/Blu-ray 3D re-release),1997.0,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Color,194,English
27,3498820,1153304495.0,250000000.0,1.85 : 1 (Blu-ray 3D release: airport sequence),2016.0,Anthony Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Color,147,English
28,1440129,303025485.0,209000000.0,2.39 : 1,2012.0,Peter Berg,Taylor Kitsch,Alexander Skarsgård,Rihanna,Color,131,English
29,0369610,1648854864.0,150000000.0,2.00 : 1,2015.0,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Color,124,English
30,1074638,1110526981.0,200000000.0,1.90 : 1 (IMAX version),2012.0,Sam Mendes,Daniel Craig,Judi Dench,Javier Bardem,Color,143,English
31,0316654,783766341.0,200000000.0,2.39 : 1,2004.0,Sam Raimi,Tobey Maguire,Kirsten Dunst,James Franco,Color,127,English
32,1300854,1215439994.0,200000000.0,2.39 : 1,2013.0,Shane Black,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Color,130,English
33,1014759,1025467110.0,200000000.0,1.85 : 1,2010.0,Tim Burton,Johnny Depp,Mia Wasikowska,Helena Bonham Carter,Color::(Technicolor),108,English
34,0376994,459359555.0,210000000.0,2.39 : 1,2006.0,Brett Ratner,Hugh Jackman,Halle Berry,Ian McKellen,Color,104,English
35,1453405,743559607.0,200000000.0,1.85 : 1,2013.0,Dan Scanlon,Billy Crystal,John Goodman,Steve Buscemi,Color,104,English
36,1055369,836303693.0,200000000.0,1.43 : 1 (two scenes: IMAX 70mm venues),2009.0,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,Color,149,English
37,2109248,1104039076.0,210000000.0,1.90 : 1 (some scenes - IMAX 3D version & Blu-ray),2014.0,Michael Bay,Mark Wahlberg,Stanley Tucci,Kelsey Grammer,Color,165,Chinese
38,1623205,493311825.0,215000000.0,1.33 : 1 (opening sequence),2013.0,Sam Raimi,James Franco,Mila Kunis,Rachel Weisz,Color,130,English
39,1872181,708982323.0,200000000.0,2.39 : 1,2014.0,Marc Webb,Andrew Garfield,Emma Stone,Jamie Foxx,Color,142,English
40,1104001,400062763.0,170000000.0,1.78 : 1 (70mm IMAX - some scenes),2010.0,Joseph Kosinski,Jeff Bridges,Garrett Hedlund,Olivia Wilde,Color,125,English
41,1216475,559852396.0,200000000.0,2.39 : 1,2011.0,John Lasseter,Larry the Cable Guy,Owen Wilson,Michael Caine,Color,106,English
42,1133985,219851172.0,200000000.0,2.35 : 1,2011.0,Martin Campbell,Ryan Reynolds,Blake Lively,Peter Sarsgaard,Color,114,English
43,0435761,1068879522.0,190000000.0,1.78 : 1 (original & intended ratio) (Blu-ray),2010.0,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Color,103,English
44,0438488,371353001.0,200000000.0,2.35 : 1,2009.0,McG,Christian Bale,Sam Worthington,Moon Bloodgood,Color::(Technicolor),115,English
45,2820852,1516045911.0,190000000.0,2.39 : 1,2015.0,James Wan,Vin Diesel,Paul Walker,Jason Statham,Color,137,English
46,0816711,540007876.0,190000000.0,2.39 : 1,2013.0,Marc Forster,Brad Pitt,Mireille Enos,Daniella Kertesz,Color,116,English
47,1877832,748121534.0,200000000.0,2.39 : 1,2014.0,Bryan Singer,Hugh Jackman,James McAvoy,Michael Fassbender,Color,132,English
48,1408101,467365246.0,190000000.0,1.66 : 1 (70mm IMAX - some scenes),2013.0,J.J. Abrams,Leonard Nimoy,Chris Pine,Zachary Quinto,Color,132,English
49,1351685,197687603.0,195000000.0,2.35 : 1,2013.0,Bryan Singer,Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor,Color,114,English
50,1343092,351040419.0,105000000.0,2.39 : 1,2013.0,Baz Luhrmann,Lisa Adam,Frank Aldridge,Amitabh Bachchan,Color,143,English
51,0473075,335154643.0,200000000.0,2.39 : 1,2010.0,Mike Newell,Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Color,116,English
52,1663662,411002906.0,190000000.0,1.85 : 1,2013.0,Guillermo del Toro,Charlie Hunnam,Diego Klattenhoff,Idris Elba,Color,131,English
53,1399103,1123790543.0,195000000.0,2.39 : 1,2011.0,Michael Bay,Shia LaBeouf,Rosie Huntington-Whiteley,Josh Duhamel,Color,154,English
54,0367882,786636033.0,185000000.0,2.39 : 1,2008.0,Steven Spielberg,Harrison Ford,Cate Blanchett,Karen Allen,Color,122,English
55,1979388,331926147.0,200000000.0,2.39 : 1,2015.0,Peter Sohn,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla,Color,93,English
56,1217209,538983207.0,185000000.0,2.39 : 1,2012.0,Mark Andrews,Kelly Macdonald,Billy Connolly,Emma Thompson,Color,93,English
57,2660888,343471816.0,185000000.0,2.35 : 1,2016.0,Justin Lin,Chris Pine,Zachary Quinto,Karl Urban,Color,122,English
58,0910970,534767889.0,180000000.0,2.39 : 1,2008.0,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Color,98,English
59,0293564,258022233.0,140000000.0,2.39 : 1,2007.0,Brett Ratner,Chris Tucker,Jackie Chan,Max von Sydow,Color,91,English
60,1190080,769679473.0,200000000.0,2.39 : 1,2009.0,Roland Emmerich,John Cusack,Amanda Peet,Chiwetel Ejiofor,Color,158,English
61,1067106,325286646.0,200000000.0,1.78 : 1 (TV version),2009.0,Robert Zemeckis,Jim Carrey,Steve Valentine,Daryl Sabara,Color,96,English
62,1617661,183887723.0,176000000.0,2.35 : 1,2015.0,Lana Wachowski,Mila Kunis,Channing Tatum,Sean Bean,Color,127,English
63,0918940,356743061.0,180000000.0,2.35 : 1,2016.0,David Yates,Alexander Skarsgård,Rory J. Saper,Christian Stevens,Color::(ACES),110,English
64,0363771,745013115.0,180000000.0,2.39 : 1,2005.0,Andrew Adamson,Georgie Henley,Skandar Keynes,William Moseley,Color,143,English
65,3385516,543934787.0,178000000.0,2.39 : 1,2016.0,Bryan Singer,James McAvoy,Michael Fassbender,Jennifer Lawrence,Color,144,English
66,0468569,1004558444.0,185000000.0,1.43 : 1 (70mm IMAX - some scenes),2008.0,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Color::(Technicolor),152,English
67,1049413,731342744.0,175000000.0,1.85 : 1,2009.0,Pete Docter,Edward Asner,Christopher Plummer,Jordan Nagai,Color,96,English
68,0892782,381509870.0,175000000.0,2.39 : 1,2009.0,Rob Letterman,Reese Witherspoon,Seth Rogen,Hugh Laurie,Color,94,English
69,0371746,585174222.0,140000000.0,1.90 : 1 (IMAX re-release: some scenes),2008.0,Jon Favreau,Robert Downey Jr.,Terrence Howard,Jeff Bridges,Color,126,English
70,0970179,185770160.0,150000000.0,1.85 : 1,2011.0,Martin Scorsese,Ben Kingsley,Sacha Baron Cohen,Asa Butterfield,Color,126,English
71,0120891,222105681.0,170000000.0,1.85 : 1,1999.0,Barry Sonnenfeld,Will Smith,Kevin Kline,Kenneth Branagh,Color::(Technicolor),106,English
72,0859163,401128639.0,145000000.0,2.39 : 1,2008.0,Rob Cohen,Brendan Fraser,Jet Li,Maria Bello,Color,112,English
73,1386697,746846894.0,175000000.0,2.39 : 1,2016.0,David Ayer,Will Smith,Jaime FitzSimons,Ike Barinholtz,Color,123,English
74,0413099,173418781.0,175000000.0,2.35 : 1,2007.0,Tom Shadyac,Steve Carell,Morgan Freeman,Lauren Graham,Color,96,English
75,1631867,369206256.0,178000000.0,2.39 : 1,2014.0,Doug Liman,Tom Cruise,Emily Blunt,Brendan Gleeson,Color,113,English
76,0114898,264218220.0,175000000.0,1.85 : 1,1995.0,Kevin Reynolds,Kevin Costner,Chaim Jeraffi,Rick Aviles,Color,135,English
77,1046173,302469017.0,175000000.0,2.39 : 1,2009.0,Stephen Sommers,Adewale Akinnuoye-Agbaje,Christopher Eccleston,Grégory Fitoussi,Color::(DeLuxe),118,English
78,2096673,857611174.0,175000000.0,1.78 : 1,2015.0,Pete Docter,Amy Poehler,Phyllis Smith,Richard Kind,Color,95,English
79,3040964,966550600.0,175000000.0,1.85 : 1,2016.0,Jon Favreau,Neel Sethi,Bill Murray,Ben Kingsley,Color,106,English
80,1228705,623933331.0,200000000.0,2.39 : 1,2010.0,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Color,124,English
81,1735898,396592829.0,170000000.0,2.39 : 1,2012.0,Rupert Sanders,Kristen Stewart,Chris Hemsworth,Charlize Theron,Color,127,English
82,1587310,758539785.0,180000000.0,2.35 : 1,2014.0,Robert Stromberg,Angelina Jolie,Elle Fanning,Sharlto Copley,Color,97,English
83,2103281,710644566.0,170000000.0,1.85 : 1,2014.0,Matt Reeves,Andy Serkis,Jason Clarke,Gary Oldman,Color,130,English
84,1321869,,50000000.0,,2015.0,Roland Joffé,Josh Hartnett,Bipasha Basu,Tamsin Egerton,Color,109,Hindi
85,1335975,151783839.0,175000000.0,2.39 : 1,2013.0,Carl Rinsch,Keanu Reeves,Hiroyuki Sanada,Ko Shibasaki,Color,128,English
86,1843866,714766572.0,170000000.0,2.39 : 1,2014.0,Anthony Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Color,136,English
87,0892791,752600867.0,165000000.0,1.78 : 1 (TV version),2010.0,Mike Mitchell,Mike Myers,Eddie Murphy,Cameron Diaz,Color,93,English
88,1964418,209154322.0,190000000.0,1.90 : 1 (IMAX version),2015.0,Brad Bird,George Clooney,Hugh Laurie,Britt Robertson,Color,130,English
89,2245084,657827828.0,165000000.0,1.78 : 1 (TV version),2014.0,Don Hall,Scott Adsit,Ryan Potter,Daniel Henney,Color,102,English
90,1772341,471222889.0,165000000.0,2.39 : 1,2012.0,Rich Moore,John C. Reilly,Sarah Silverman,Jack McBrayer,Color,101,English
91,0338348,307514317.0,165000000.0,1.78 : 1 (TV version),2004.0,Robert Zemeckis,Tom Hanks,Leslie Zemeckis,Eddie Deezen,Color,100,English
92,1628841,389681935.0,165000000.0,2.39 : 1,2016.0,Roland Emmerich,Liam Hemsworth,Jeff Goldblum,Jessie T. Usher,Color,120,English
93,0892769,494878759.0,165000000.0,2.39 : 1,2010.0,Dean DeBlois,Jay Baruchel,Gerard Butler,Craig Ferguson,Color,98,English
94,0181852,283000000.0,200000000.0,2.39 : 1,2003.0,Jonathan Mostow,Arnold Schwarzenegger,Nick Stahl,Claire Danes,Color,109,English
95,2015381,774176600.0,170000000.0,1.90 : 1 (IMAX version: some scenes),2014.0,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Color,121,English
96,0816692,675020017.0,165000000.0,1.43 : 1 (IMAX 70 mm: some scenes),2014.0,Christopher Nolan,Ellen Burstyn,Matthew McConaughey,Mackenzie Foy,Color::(FotoKem),169,English
97,1375666,825532764.0,160000000.0,2.39 : 1,2010.0,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Color,148,English
98,4262980,78053145.0,,2.39 : 1,2016.0,Hideaki Anno,Hiroki Hasegawa,Yutaka Takenouchi,Satomi Ishihara,Color,120,Japanese
99,0903624,1021103568.0,180000000.0,2.00 : 1 (IMAX 3-D version),2012.0,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Color,169,English
100,0232500,207283925.0,38000000.0,2.39 : 1,2001.0,Rob Cohen,Paul Walker,Vin Diesel,Michelle Rodriguez,Color,106,English
101,0421715,333932083.0,150000000.0,2.39 : 1,2008.0,David Fincher,Cate Blanchett,Brad Pitt,Julia Ormond,Color,166,English
102,1270798,353624124.0,160000000.0,2.39 : 1,2011.0,Matthew Vaughn,James McAvoy,Laurence Belcher,Michael Fassbender,Color,131,English
103,1951266,653428261.0,160000000.0,2.35 : 1,2015.0,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Color,137,English
104,0963966,215283742.0,150000000.0,2.39 : 1,2010.0,Jon Turteltaub,Nicolas Cage,Jay Baruchel,Alfred Molina,Color,109,English
105,0409182,181674817.0,160000000.0,2.39 : 1,2006.0,Wolfgang Petersen,Josh Lucas,Kurt Russell,Jacinda Barrett,Color,98,English
106,2567026,299455833.0,170000000.0,1.85 : 1,2016.0,James Bobin,Johnny Depp,Mia Wasikowska,Helena Bonham Carter,Color,113,English
107,0413267,798958162.0,160000000.0,1.78 : 1 (negative ratio),2007.0,Chris Miller,Mike Myers,Eddie Murphy,Cameron Diaz,Color,93,English
108,0803096,433677183.0,160000000.0,2.39 : 1,2016.0,Duncan Jones,Travis Fimmel,Paula Patton,Ben Foster,Color,123,English
109,1340138,440603537.0,155000000.0,2.35 : 1,2015.0,Alan Taylor,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Color,126,English
110,0980970,418186950.0,155000000.0,1.78 : 1 (Blu-ray & DVD),2010.0,Michael Apted,Georgie Henley,Skandar Keynes,Ben Barnes,Color,113,English
111,0213149,449220945.0,140000000.0,2.39 : 1,2001.0,Michael Bay,Ben Affleck,Josh Hartnett,Kate Beckinsale,Color,183,English
112,0418279,709709780.0,150000000.0,2.39 : 1,2007.0,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,Color,144,English
113,0346491,167294772.0,155000000.0,2.39 : 1,2004.0,Oliver Stone,Anthony Hopkins,David Bedella,Jessie Kamm,Color,175,English
114,0373889,939885929.0,150000000.0,2.39 : 1,2007.0,David Yates,Daniel Radcliffe,Harry Melling,Jason Boyd,Color,138,English
115,0330373,896911078.0,150000000.0,2.39 : 1,2005.0,Mike Newell,Eric Sykes,Timothy Spall,David Tennant,Color,157,English
116,0448157,624386746.0,150000000.0,2.39 : 1,2008.0,Peter Berg,Will Smith,Charlize Theron,Jason Bateman,Color,92,English
117,0480249,585349010.0,150000000.0,2.35 : 1,2007.0,Francis Lawrence,Will Smith,Alice Braga,Charlie Tahan,Color::(Technicolor),101,English
118,0367594,474968763.0,150000000.0,1.33 : 1 (2005 fullscreen DVD) (pan-and-scan),2005.0,Tim Burton,Johnny Depp,Freddie Highmore,David Kelly,Color,115,English
119,0382932,623722818.0,150000000.0,2.39 : 1,2007.0,Brad Bird,Patton Oswalt,Ian Holm,Lou Romano,Color,111,English
120,0372784,374218673.0,150000000.0,2.39 : 1,2005.0,Christopher Nolan,Christian Bale,Michael Caine,Liam Neeson,Color,140,English
121,0479952,603900354.0,150000000.0,1.44 : 1 (IMAX version),2008.0,Eric Darnell,Ben Stiller,Chris Rock,David Schwimmer,Color,89,English
122,1078912,413106170.0,150000000.0,2.39 : 1,2009.0,Shawn Levy,Ben Stiller,Amy Adams,Owen Wilson,Color,105,English
123,0458525,373062864.0,150000000.0,2.39 : 1,2009.0,Gavin Hood,Hugh Jackman,Liev Schreiber,Danny Huston,Color,107,English
124,0242653,427343298.0,150000000.0,2.39 : 1,2003.0,Lana Wachowski,Mary Alice,Tanveer K. Atwal,Helmut Bakaitis,Color,129,English
125,2294629,1276480335.0,150000000.0,1.78 : 1 (TV version),2013.0,Chris Buck,Kristen Bell,Idina Menzel,Jonathan Groff,Color,102,English
126,0234215,742128461.0,150000000.0,2.39 : 1,2003.0,Lana Wachowski,Ray Anthony,Christine Anu,Andy Arness,Color,138,English
127,1981115,644783140.0,170000000.0,2.39 : 1,2013.0,Alan Taylor,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Color,112,English
128,1392190,378436354.0,150000000.0,2.39 : 1,2015.0,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Color,120,English
129,0808151,485930816.0,150000000.0,2.39 : 1,2009.0,Ron Howard,Tom Hanks,Ewan McGregor,Ayelet Zurer,Color,138,English
130,0800369,449326618.0,150000000.0,2.39 : 1,2011.0,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Color,115,English
131,0397892,309979994.0,150000000.0,1.85 : 1,2008.0,Byron Howard,John Travolta,Miley Cyrus,Susie Essman,Color,96,English
132,0436339,292817841.0,150000000.0,1.85 : 1 (3-D version: frame break),2009.0,Hoyt Yeatman,Bill Nighy,Will Arnett,Zach Galifianakis,Color,88,English
133,1646987,305270083.0,150000000.0,1.85 : 1,2012.0,Jonathan Liebesman,Sam Worthington,Liam Neeson,Ralph Fiennes,Color,99,English
134,1077368,245527149.0,150000000.0,1.85 : 1,2012.0,Tim Burton,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Color,113,English
135,2381249,700868363.0,150000000.0,2.39 : 1,2015.0,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Simon Pegg,Color,131,English
136,0780653,139789765.0,150000000.0,1.85 : 1,2010.0,Joe Johnston,Simon Merrells,Gemma Whelan,Emily Blunt,Color,103,English
137,0389790,287594577.0,150000000.0,1.85 : 1,2007.0,Simon J. Smith,Jerry Seinfeld,Renée Zellweger,Matthew Broderick,Color,91,English
138,1302011,665692281.0,150000000.0,2.39 : 1,2011.0,Jennifer Yuh Nelson,Jack Black,Angelina Jolie,Dustin Hoffman,Color,90,English
139,0938283,319731881.0,150000000.0,2.35 : 1,2010.0,M. Night Shyamalan,Noah Ringer,Dev Patel,Nicola Peltz Beckham,Color,103,English
140,0317919,397850012.0,150000000.0,2.35 : 1,2006.0,J.J. Abrams,Tom Cruise,Philip Seymour Hoffman,Ving Rhames,Color,126,English
141,2334879,205366737.0,150000000.0,2.39 : 1,2013.0,Roland Emmerich,Channing Tatum,Jamie Foxx,Maggie Gyllenhaal,Color,131,English
142,1305591,,150000000.0,2.35 : 1,2011.0,Simon Wells,Seth Green,Dan Fogler,Joan Cusack,Color,88,English
143,0424095,178120010.0,149000000.0,1.85 : 1,2006.0,David Bowers,Hugh Jackman,Kate Winslet,Ian McKellen,Color,85,English
144,3332064,151543635.0,150000000.0,2.35 : 1,2015.0,Joe Wright,Hugh Jackman,Levi Miller,Garrett Hedlund,Color::(ACES),111,English
145,0864835,275698039.0,145000000.0,1.85 : 1,2014.0,Rob Minkoff,Ty Burrell,Max Charles,Lauri Fraser,Color,92,English
146,0332452,497409852.0,175000000.0,2.39 : 1,2004.0,Wolfgang Petersen,Julian Glover,Brian Cox,Nathan Jones,Color,163,English
147,1277953,746921274.0,145000000.0,1.78 : 1 (negative ratio),2012.0,Eric Darnell,Ben Stiller,Chris Rock,David Schwimmer,Color,95,English
148,0246460,271028977.0,142000000.0,2.39 : 1,2002.0,Lee Tamahori,Pierce Brosnan,Halle Berry,Toby Stephens,Color,133,English
149,1289401,229147509.0,144000000.0,1.43 : 1 (frame break: IMAX laser 3-D version),2016.0,Paul Feig,Zach Woods,Kristen Wiig,Ed Begley Jr.,Color,117,English
150,0120591,553709788.0,140000000.0,2.20 : 1 (70 mm print),1998.0,Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,Color,151,English
151,0120912,441818803.0,140000000.0,1.37 : 1 (negative ratio),2002.0,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Rip Torn,Color,88,English
152,0442933,196393745.0,150000000.0,2.39 : 1,2007.0,Robert Zemeckis,Robin Wright,Anthony Hopkins,Paul Baker,Color,115,English
153,2267968,521170825.0,145000000.0,2.39 : 1,2016.0,Alessandro Carloni,Jack Black,Bryan Cranston,Dustin Hoffman,Color,95,English
154,1229238,694713380.0,145000000.0,1.43 : 1 (70mm IMAX: some scenes),2011.0,Brad Bird,Tom Cruise,Paula Patton,Simon Pegg,Color,132,English
155,1446192,306941670.0,145000000.0,1.78 : 1 (negative ratio),2012.0,Peter Ramsey,Chris Pine,Alec Baldwin,Jude Law,Color,97,English
156,0369441,202026112.0,100000000.0,2.39 : 1,2005.0,Dean Parisot,Jim Carrey,Téa Leoni,Alec Baldwin,Color,90,English
157,0325710,456758981.0,140000000.0,2.39 : 1,2003.0,Edward Zwick,Ken Watanabe,Tom Cruise,William Atherton,Color,154,English
158,1528100,268175631.0,140000000.0,2.39 : 1,2014.0,Ridley Scott,Christian Bale,Joel Edgerton,John Turturro,Color,150,English
159,0796366,385680446.0,150000000.0,1.43 : 1 (Main title shot: IMAX 70mm version),2009.0,J.J. Abrams,Chris Pine,Zachary Quinto,Leonard Nimoy,Color,127,English
160,0145487,399200000.0,139000000.0,1.85 : 1,2002.0,Sam Raimi,Tobey Maguire,Willem Dafoe,Kirsten Dunst,Color,121,English
161,1646971,621537519.0,145000000.0,2.39 : 1,2014.0,Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Color,102,English
162,2404233,150680864.0,140000000.0,2.35 : 1,2016.0,Alex Proyas,Brenton Thwaites,John Samaha,Courtney Eaton,Color,127,English
163,0382992,76932872.0,135000000.0,2.35 : 1,2005.0,Rob Cohen,Josh Lucas,Jessica Biel,Jamie Foxx,Color,121,English
164,0409459,185258983.0,130000000.0,2.39 : 1,2009.0,Zack Snyder,Malin Akerman,Billy Crudup,Matthew Goode,Color::(Technicolor),162,English
165,0122151,285444603.0,140000000.0,2.39 : 1,1998.0,Richard Donner,Mel Gibson,Danny Glover,Joe Pesci,Color,127,English
166,0286716,245284946.0,137000000.0,1.85 : 1,2003.0,Ang Lee,Eric Bana,Jennifer Connelly,Sam Elliott,Color,138,English
167,1583421,375740705.0,130000000.0,2.39 : 1,2013.0,Jon M. Chu,Dwayne Johnson,Jonathan Pryce,Lee Byung-hun,Color,110,English
168,0318649,119269486.0,130000000.0,2.35 : 1,2005.0,Breck Eisner,Jude Akuwudike,Mark Aspinall,Rakie Ayola,Color,124,English
169,0173840,85131830.0,137000000.0,1.85 : 1,2001.0,Hironobu Sakaguchi,Ming-Na Wen,Alec Baldwin,Ving Rhames,Color,106,English
170,0458339,370569774.0,140000000.0,1.85 : 1 (post-credits scene),2011.0,Joe Johnston,Chris Evans,Hayley Atwell,Sebastian Stan,Color,124,English
171,0143145,361832400.0,135000000.0,2.39 : 1,1999.0,Michael Apted,Pierce Brosnan,Sophie Marceau,Robert Carlyle,Color,128,English
172,0311113,212011111.0,150000000.0,2.39 : 1,2003.0,Peter Weir,Russell Crowe,Paul Bettany,James D'Arcy,Color,138,English
173,1673434,832660037.0,120000000.0,2.35 : 1,2012.0,Bill Condon,Kristen Stewart,Robert Pattinson,Taylor Lautner,Color,115,English
174,1402488,150406466.0,135000000.0,2.39 : 1,2011.0,George Miller,Carlos Alazraqui,Lombardo Boyar,Jeffrey Garcia,Color,117,English
175,0800080,263427551.0,150000000.0,2.39 : 1,2008.0,Louis Leterrier,Edward Norton,Liv Tyler,Tim Roth,Color,112,English
176,0086759,,1500000.0,1.33 : 1,1984.0,,Don Johnson,Philip Michael Thomas,Saundra Santiago,Color,48,English
177,3691740,199905224.0,140000000.0,1.78 : 1 (TV version),2016.0,Steven Spielberg,Mark Rylance,Ruby Barnhill,Penelope Wilton,Color,117,English
178,1663202,532950503.0,135000000.0,2.39 : 1,2015.0,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,Color,156,English
179,1860353,282570682.0,135000000.0,2.39 : 1,2013.0,David Soren,Ryan Reynolds,Paul Giamatti,Michael Peña,Color,96,English
180,1192628,245724603.0,135000000.0,1.78 : 1 (HDTV),2011.0,Gore Verbinski,Johnny Depp,Isla Fisher,Abigail Breslin,Color,107,English
181,1911658,373543611.0,132000000.0,1.85 : 1,2014.0,Eric Darnell,Tom McGrath,Chris Miller,Christopher Knights,Color,92,English
182,0440963,442824138.0,110000000.0,2.39 : 1,2007.0,Paul Greengrass,Matt Damon,Julia Stiles,David Strathairn,Color::(Technicolor),115,English
183,0441773,631744560.0,130000000.0,1.43 : 1 (IMAX version: cropped),2008.0,Mark Osborne,Jack Black,Dustin Hoffman,Angelina Jolie,Color,92,English
184,0478970,519445163.0,130000000.0,1.85 : 1,2015.0,Peyton Reed,Paul Rudd,Michael Douglas,Evangeline Lilly,Color,117,English
