,No,gross,budget,aspect_ratio,title_year,director_name,actor_1_name,actor_2_name,actor_3_name,color,duration,language
3539,0120148,67000000.0,9000000.0,1.85 : 1,1998.0,Peter Howitt,Gwyneth Paltrow,John Hannah,John Lynch,Color::(Technicolor),99,English
3540,0114609,,6000000.0,1.85 : 1,1995.0,Rusty Cundieff,Clarence Williams III,Joe Torry,De'aundre Bonds,Color,98,English
3541,0455590,,6000000.0,2.35 : 1,2006.0,Kevin Macdonald,Forest Whitaker,James McAvoy,Kerry Washington,Color,123,English
3542,0097474,,3000000.0,1.85 : 1,1989.0,Dominique Othenin-Girard,Donald Pleasence,Danielle Harris,Ellie Cornell,Color,96,English
3543,1704573,,5000000.0,1.85 : 1,2011.0,Richard Linklater,Jack Black,Shirley MacLaine,Matthew McConaughey,Color,99,English
3544,0996382,,6000000.0,1.78 : 1 (IMAX version),2008.0,Jean-Jacques Mantello,Daryl Hannah,Charlotte Rampling,,Color,42,English
3545,0183659,,6000000.0,1.85 : 1,2000.0,Ed Harris,Ed Harris,Robert Knott,Molly Regan,Color,122,English
3546,0137338,,6000000.0,1.85 : 1,1999.0,Risa Bramon Garcia,Ben Affleck,Casey Affleck,Jennifer Albano,Color,101,English
3547,1840417,13231461.0,6000000.0,1.85 : 1,2012.0,Brian Klugman,Dennis Quaid,John Hannah,Jeremy Irons,Color,102,English
3548,1702425,,6000000.0,2.35 : 1,2012.0,Matt Piedmont,Will Ferrell,Diego Luna,Pedro Armendáriz Jr.,Color,85,Spanish
3549,1174730,,6000000.0,1.85 : 1,2009.0,Raymond De Felitta,Andy Garcia,Julianna Margulies,Steven Strait,Color,104,English
3550,1540133,,6000000.0,2.35 : 1,2011.0,John Michael McDonagh,Ronan Collins,Paraic Nialand,John Patrick Beirne,Color,96,English
3551,0844671,,6500000.0,1.85 : 1,2008.0,Deb Hagan,Drake Bell,Andrew Lewis Caldwell,Andree Moss,Color,94,English
3552,0159097,10409377.0,6000000.0,1.66 : 1 (Criterion Blu-ray release),1999.0,Sofia Coppola,James Woods,Kathleen Turner,Kirsten Dunst,Color,97,English
3553,0147004,,,1.85 : 1,1998.0,Mark Herman,Brenda Blethyn,Jane Horrocks,Ewan McGregor,Color,97,English
3554,1151922,,6000000.0,1.85 : 1,2009.0,Zach Cregger,Zach Cregger,Trevor Moore,Raquel Alessi,Color,90,English
3555,2870708,5483299.0,6000000.0,2.35 : 1,2014.0,Zach Braff,Zach Braff,Pierce Gagnon,Kate Hudson,Color,106,English
3556,0145893,,6000000.0,2.39 : 1,1999.0,Mark Tarlov,Sarah Michelle Gellar,Sean Patrick Flanery,Patricia Clarkson,Color,96,English
3557,0412253,,,1.78 : 1,2004.0,,Kristen Bell,Jason Dohring,Enrico Colantoni,Color,44,English
3558,0248845,,6000000.0,1.85 : 1,2001.0,John Cameron Mitchell,John Cameron Mitchell,Miriam Shor,Stephen Trask,Color,95,English
3559,0107750,,6000000.0,1.85 : 1,1993.0,Sheldon Lettich,Mark Dacascos,Stacey Travis,Geoffrey Lewis,Color::(Eastmancolor),99,English
3560,3432552,,,2.35 : 1,2015.0,Jon Knautz,Alexis Kendra,Woody Naismith,Elizabeth Sandy,Color,93,English
3561,0323944,724744.0,6000000.0,2.35 : 1,2003.0,Billy Ray,Hayden Christensen,Peter Sarsgaard,Chloë Sevigny,Color,94,English
3562,0234354,,6000000.0,1.85 : 1,2001.0,David Atkins,Chelcie Ross,Steve Martin,Laura Dern,Color,95,English
3563,0270259,,,1.85 : 1,2001.0,Patrick Stettner,Stockard Channing,Julia Stiles,Frederick Weller,Color::(DuArt),84,English
